action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1660297,[],CHEMBL854334,Antagonistic potency at human TLR4 expressed in HEK293 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCCCCCCC(=O)N[C@H](COCC[C@@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,,,CHEMBL1141958,Bioorg Med Chem Lett,2005,,CHEMBL382272,,CHEMBL382272,6.46,0,http://www.openphacts.org/units/Nanomolar,411293,=,1,1,=,,IC50,nM,,350.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,0.35
,,1660307,[],CHEMBL854334,Antagonistic potency at human TLR4 expressed in HEK293 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCCCCCCC(=O)N[C@@H](COCC[C@@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,,,CHEMBL1141958,Bioorg Med Chem Lett,2005,,CHEMBL200140,,CHEMBL200140,6.60,0,http://www.openphacts.org/units/Nanomolar,411296,=,1,1,=,,IC50,nM,,250.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,0.25
,,1660308,[],CHEMBL854334,Antagonistic potency at human TLR4 expressed in HEK293 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCCCCCCC(=O)N[C@@H](COCC[C@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,,,CHEMBL1141958,Bioorg Med Chem Lett,2005,,CHEMBL200667,,CHEMBL200667,7.10,0,http://www.openphacts.org/units/Nanomolar,411295,=,1,1,=,,IC50,nM,,80.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,0.08
,,1660309,[],CHEMBL854334,Antagonistic potency at human TLR4 expressed in HEK293 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCCCCCCC(=O)N[C@H](COCC[C@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,,,CHEMBL1141958,Bioorg Med Chem Lett,2005,,CHEMBL200398,,CHEMBL200398,6.80,0,http://www.openphacts.org/units/Nanomolar,411294,=,1,1,=,,IC50,nM,,160.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,0.16
,,1688982,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O.CC[C@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL3989738,POLYMYXIN B,CHEMBL3989738,5.91,0,http://www.openphacts.org/units/Nanomolar,438661,=,1,1,=,,IC50,nM,,1230.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,1.23
,,1689005,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCCCCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCCCCCCCCCCC.Cl.Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL540367,,CHEMBL1190218,,0,http://www.openphacts.org/units/Nanomolar,438672,=,1,1,=,,IC50,nM,,190000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,190.0
,,1689006,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCCCCC.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL535384,,CHEMBL1188151,5.35,0,http://www.openphacts.org/units/Nanomolar,438671,=,1,1,=,,IC50,nM,,4500.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,4.5
,,1689007,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/NC(=N)N)c1OCCCCCC.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL537642,,CHEMBL1188894,5.21,0,http://www.openphacts.org/units/Nanomolar,438670,=,1,1,=,,IC50,nM,,6110.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,6.11
,,1689008,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCC.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL537866,,CHEMBL1188983,4.98,0,http://www.openphacts.org/units/Nanomolar,438669,=,1,1,=,,IC50,nM,,10500.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,10.5
,,1689009,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/NC(=N)N)c1OCCCC.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL537865,,CHEMBL1188982,5.03,0,http://www.openphacts.org/units/Nanomolar,438668,=,1,1,=,,IC50,nM,,9400.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,9.4
,,1689010,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,C=CCOc1c(/C=N/NC(=N)N)ccc(/C=N/NC(=N)N)c1OCC=C.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL537645,,CHEMBL1188897,4.21,0,http://www.openphacts.org/units/Nanomolar,438667,=,1,1,=,,IC50,nM,,61400.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,61.4
,,1689011,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCC.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL534488,,CHEMBL1187941,4.56,0,http://www.openphacts.org/units/Nanomolar,438666,=,1,1,=,,IC50,nM,,27600.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,27.6
,,1689012,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,CCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCC.Cl.Cl,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL538329,,CHEMBL1189261,4.45,0,http://www.openphacts.org/units/Nanomolar,438665,=,1,1,=,,IC50,nM,,35600.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,35.6
