molecule_chembl_id,canonical_smiles,standard_value
CHEMBL382272,CCCCCCCCCCCCCC(=O)N[C@H](COCC[C@@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,350.0
CHEMBL200140,CCCCCCCCCCCCCC(=O)N[C@@H](COCC[C@@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,250.0
CHEMBL200667,CCCCCCCCCCCCCC(=O)N[C@@H](COCC[C@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,80.0
CHEMBL200398,CCCCCCCCCCCCCC(=O)N[C@H](COCC[C@H](CCCCCCC)OC(=O)CCCCCCCCCCC)COP(=O)(O)OCCNC(=O)C(Cc1ccc(O)cc1)C(=O)O,160.0
CHEMBL3989738,CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O.CC[C@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O,1230.0
CHEMBL540367,CCCCCCCCCCCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCCCCCCCCCCC.Cl.Cl,190000.0
CHEMBL535384,CCCCCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCCCCC.Cl.Cl,4500.0
CHEMBL537642,CCCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/NC(=N)N)c1OCCCCCC.Cl.Cl,6110.0
CHEMBL537866,CCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCC.Cl.Cl,10500.0
CHEMBL537865,CCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/NC(=N)N)c1OCCCC.Cl.Cl,9400.0
CHEMBL537645,C=CCOc1c(/C=N/NC(=N)N)ccc(/C=N/NC(=N)N)c1OCC=C.Cl.Cl,61400.0
CHEMBL534488,CCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCC.Cl.Cl,27600.0
CHEMBL538329,CCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCC.Cl.Cl,35600.0
